#Top: top   Floorplan: design_1   Part: xc7a35tcsg324-1
#Generated by: travis   on: Sun Dec 31 08:03:01 2017
#Build: Vivado v2017.3   by: xbuild   on: Wed Oct  4 19:58:07 MDT 2017
#Package Version: FINAL 2013-12-19
#Package Pin Delay Version: VERS. 2.0 2013-12-19

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
35,E2,IOB_X1Y72,IO_L14P_T2_SRCC_35,96.235,97.202,,,,,,,,,,,,,,,,,,,,
35,D2,IOB_X1Y71,IO_L14N_T2_SRCC_35,94.972,95.926,,,,,,,,,,,,,,,,,,,,
35,H2,IOB_X1Y70,IO_L15P_T2_DQS_35,90.496,91.406,,,,,,,,,,,,,,,,,,,,
35,G2,IOB_X1Y69,IO_L15N_T2_DQS_35,92.996,93.931,,,,,,,,,,,,,,,,,,,,
35,C1,IOB_X1Y67,IO_L16N_T2_35,105.200,106.258,,,,,,,,,,,,,,,,,,,,
35,H1,IOB_X1Y66,IO_L17P_T2_35,83.386,84.224,,,,,,,,,,,,,,,,,,,,
35,G1,IOB_X1Y65,IO_L17N_T2_35,80.184,80.990,,,,,,,,,,,,,,,,,,,,
35,F1,IOB_X1Y64,IO_L18P_T2_35,82.497,83.326,,,,,,,,,,,,,,,,,,,,
35,A7,,VCCO_35,,,,,,,,,,,,,,,,,,,,,VCCO_35,3.30
35,C3,,VCCO_35,,,,,,,,,,,,,,,,,,,,,VCCO_35,3.30
35,D6,,VCCO_35,,,,,,,,,,,,,,,,,,,,,VCCO_35,3.30
35,F2,,VCCO_35,,,,,,,,,,,,,,,,,,,,,VCCO_35,3.30
35,G5,,VCCO_35,,,,,,,,,,,,,,,,,,,,,VCCO_35,3.30
35,J1,,VCCO_35,,,,,,,,,,,,,,,,,,,,,VCCO_35,3.30
,A12,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,A2,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,B15,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,B5,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,C18,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,C8,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,D11,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,D1,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,E14,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,E4,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,F17,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,F11,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,F9,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,F7,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,G12,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,G10,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,G8,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,H13,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,H11,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,H7,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,H3,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,J16,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,J12,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,J8,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,J6,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,K11,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,K7,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,L12,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,L8,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,L2,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,M15,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,M11,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,M9,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,M7,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,M5,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,N18,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,N12,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,N10,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,N8,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,P1,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,R14,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,R4,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,T17,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,T7,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,U10,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,V13,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,V3,,GND,,,,,,,,,,,,,,,,,,,,,GND,GND
,F8,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,G9,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,G7,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,H8,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,J11,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,J7,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,K8,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,L11,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,L7,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,M10,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,M8,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,N11,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,N9,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,N7,,VCCINT,,,,,,,,,,,,,,,,,,,,,,
,F12,,VCCAUX,,,,,,,,,,,,,,,,,,,,,VCCAUX,1.80
,H12,,VCCAUX,,,,,,,,,,,,,,,,,,,,,VCCAUX,1.80
,K12,,VCCAUX,,,,,,,,,,,,,,,,,,,,,VCCAUX,1.80
,M12,,VCCAUX,,,,,,,,,,,,,,,,,,,,,VCCAUX,1.80
,F10,,VCCBRAM,,,,,,,,,,,,,,,,,,,,,,
,G11,,VCCBRAM,,,,,,,,,,,,,,,,,,,,,,
